url,label,page_length_chars,text_to_html_ratio,script_entropy_avg,num_scripts,inline_script_ratio,num_obfuscated_scripts,max_script_length,num_forms,has_password_field,num_hidden_inputs,total_input_fields,num_forms_external_action,suspicious_input_name_count,credential_placeholder_count,num_images,image_alt_anomaly_ratio,external_css_count,external_js_count,num_external_links,ip_link_count,mailto_link_count,num_meta_refresh,base_tag_domain_mismatch,canonical_domain_mismatch,og_url_domain_mismatch,favicon_domain_mismatch,inline_event_handler_count,suspicious_keyword_density,mixed_protocol_reference_count
https://so-sogen1.firebaseapp.com/,0,21265,0.015,0,0,0.0,0,0,0,0,0,0,0,0,0,1,1.0,1,0,2,0,0,0,0,0,0,0,1,0.0,0
http://www.escolabarretodejiujitsu.com.br,0,1227138,0.001,4.695,64,0.734,0,53428,0,0,0,0,0,0,0,82,0.841,0,11,10,0,0,0,0,0,0,1,144,0.0,0
https://www.nevernecovington.com,1,37920,0.021,4.798,27,0.593,0,2494,0,0,0,0,0,0,0,2,0.0,16,6,7,0,0,0,0,0,0,0,13,0.0,1
https://www.phoring.com,1,119958,0.034,4.951,40,0.45,0,7368,3,0,12,17,0,0,0,16,0.812,2,5,11,0,3,0,0,0,0,0,26,0.0061,3
https://f43e0e.webwave.dev/,0,20,1.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0
https://www.cryptomuseum.com,1,110991,0.07,4.316,2,1.0,0,2354,2,0,6,9,2,0,0,216,0.648,0,0,11,0,4,0,0,0,0,0,37,0.00475,4
https://www.alexhudson.com,1,18103,0.115,4.812,8,0.5,0,342,0,0,0,0,0,0,0,3,0.667,1,3,10,0,0,0,0,0,0,0,16,0.00669,1
https://www.appvisor.com.ar,1,44948,0.06,4.924,17,0.529,0,2242,2,0,0,4,1,1,0,19,0.789,5,0,15,0,2,0,0,0,0,0,12,0.0,20
https://www.ssnewstelegram.com,1,84843,0.145,5.134,16,0.438,0,778,2,0,0,2,0,0,0,41,0.024,0,5,19,0,0,0,0,0,0,0,13,0.0,1
https://www.kncolorado.com,1,129307,0.047,4.693,19,0.526,0,679,4,1,6,14,4,4,0,52,0.0,8,9,345,0,0,0,0,1,1,0,194,0.00157,0
https://hib3c1ufo.web.app/,0,21265,0.015,0,0,0.0,0,0,0,0,0,0,0,0,0,1,1.0,1,0,2,0,0,0,0,0,0,0,1,0.0,0
https://www.claverton-energy.com,1,73444,0.064,4.807,16,0.25,0,1347,0,0,0,0,0,0,0,12,0.167,20,12,64,0,1,0,0,1,0,0,17,0.00141,0
https://www.americafirst.com,1,1565343,0.014,4.833,17,0.412,2,2549,1,0,2,5,1,1,0,147,0.075,0,4,53,0,0,0,0,0,0,0,684,0.02123,81
https://www.gabrielleferrar.com,1,617764,0.035,4.93,59,0.983,0,28241,3,0,26,35,1,2,0,59,0.847,8,1,112,0,0,0,0,1,1,1,184,0.00199,218
https://www.indexers.org.uk,1,99333,0.06,4.967,88,0.034,0,8109,1,0,0,6,0,0,0,8,0.625,0,23,4,0,0,0,0,0,0,0,23,0.0,7
https://www.opentopomap.org,1,11534,0.012,5.224,12,0.083,0,9137,0,0,0,1,0,0,0,0,0.0,0,0,2,0,0,0,0,0,0,0,17,0.0,4
https://fp-tinxyz3.firebaseapp.com/,0,21265,0.015,0,0,0.0,0,0,0,0,0,0,0,0,0,1,1.0,1,0,2,0,0,0,0,0,0,0,1,0.0,0
https://www.lunchnext.com,1,84751,0.239,4.857,16,0.25,0,429,1,1,1,16,0,2,1,71,1.0,0,6,68,0,9,0,0,0,0,0,155,0.00526,2
https://www.thepinkleopardboutique.org,1,420684,0.029,4.84,46,0.674,0,8083,16,0,63,70,0,2,0,77,0.792,0,4,7,0,0,0,0,0,0,0,45,0.00181,122
https://project6a-cc865.web.app/,0,21265,0.015,0,0,0.0,0,0,0,0,0,0,0,0,0,1,1.0,1,0,2,0,0,0,0,0,0,0,1,0.0,0
https://www.washburn.edu,1,190635,0.044,5.12,18,0.111,0,6390,0,0,0,0,0,0,0,50,0.0,5,5,79,0,1,0,0,0,0,0,21,0.0,10
https://www.nec.com,1,34571,0.091,4.459,18,0.5,0,4254,1,0,1,2,0,0,0,28,0.929,0,1,2,0,0,0,0,0,0,0,21,0.00218,0
https://www.enfsolar.com,1,70640,0.059,4.721,17,0.353,0,2882,2,0,0,3,0,0,0,51,0.608,6,5,9,0,0,0,0,0,0,1,35,0.00165,2
http://www.zestevents.co,0,114,0.0,4.172,1,1.0,0,56,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,0.0,0
http://www.thedanielrichard.com,0,153878,0.065,4.801,16,0.625,0,1780,3,0,3,6,3,0,0,11,0.091,2,6,221,0,0,0,0,1,1,1,34,0.00822,0
https://www.gururecipes.net,1,242290,0.009,5.289,38,0.684,1,17090,1,0,0,2,0,0,0,5,0.2,0,12,5,0,0,0,0,0,0,0,52,0.0,153
http://www.rmb6688.com,0,3275,0.014,4.783,4,0.25,0,390,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,3,0.0,0
https://www.pizap.com,1,6033,0.0,4.891,11,0.455,0,2362,0,0,0,0,0,0,0,1,1.0,0,4,0,0,0,0,0,0,0,0,15,0.0,0
https://www.inalto.org,1,184993,0.017,4.251,14,0.571,0,1433,1,0,5,17,0,0,0,27,0.519,1,0,0,0,0,0,0,0,0,0,40,0.0,11
https://www.abisoft.co.za,1,9363,0.253,4.703,8,0.125,0,823,0,0,0,0,0,0,0,20,0.4,1,0,15,0,3,0,0,0,0,0,2,0.0,1
https://www.manycontacts.com,1,317699,0.033,4.936,27,0.556,0,2985,1,0,9,10,0,0,1,37,1.0,0,0,20,0,0,0,0,0,0,0,10,0.00313,34
https://www.dumbofeather.com,1,76683,0.018,4.796,32,0.594,0,3417,2,0,5,9,1,1,0,3,1.0,8,13,19,0,1,0,0,0,0,1,11,0.01442,3
https://www.boaeditions.org,1,122934,0.03,4.798,52,0.712,0,6525,2,0,3,5,0,0,0,19,0.0,1,3,21,0,1,0,0,0,0,0,53,0.00353,12
https://www.tableskirtingclip.com,1,92002,0.095,4.734,23,0.696,0,1105,2,0,0,8,0,1,0,69,0.435,3,1,6,0,0,0,0,0,0,0,15,0.00279,1
https://www.lundfloral.net,1,137046,0.044,4.372,57,0.912,0,19763,5,0,33,42,0,8,0,45,0.067,2,5,24,0,1,0,0,0,0,1,45,0.0,1
https://www.katrinbongard.com,1,59188,0.052,5.047,23,0.304,0,3418,3,0,0,3,0,0,0,16,0.312,1,0,13,0,0,0,0,0,0,0,17,0.00195,11
