URL,label,dom_max_depth,dom_total_nodes,dom_avg_branching_factor,dom_max_children_per_node,dom_iframe_count,dom_iframe_max_nesting,dom_form_count,dom_hidden_input_count,dom_forms_external_action_ratio,dom_script_count,dom_suspicious_script_count,dom_popup_indicators,dom_hover_url_mismatch_count,dom_mixed_content_count,dom_external_resource_count,dom_cross_origin_iframe_count,dom_hidden_element_ratio,dom_clickable_without_href_count,dom_keyboard_event_on_password_count,dom_autocomplete_off_password_count,dom_setTimeout_or_setInterval_presence,dom_mutation_observer_presence,dom_service_worker_register_presence,dom_clipboard_access_presence,dom_download_link_count,dom_data_uri_image_count,dom_form_target_blank_count,dom_anchor_noopener_missing_ratio,dom_event_handler_attr_total,dom_third_party_domains_unique
https://www.businesslist.co.ke,1,11,424,0.9976415094339622,41,0,0,0,0,0,5,0,False,2,0,14,0,0.12412177985948478,0,0,0,False,False,True,False,0,8,0,0,0,11
https://www.nicodimgallery.com,1,12,107,0.9906542056074766,31,2,1,0,6,0,21,0,False,0,0,17,2,0.4485981308411215,0,0,0,False,False,True,False,0,0,0,1,0,12
https://deltafi.netlify.app/,0,7,17,0.9411764705882353,5,0,0,0,0,0,0,0,False,0,0,0,0,0.29411764705882354,0,0,0,False,False,True,False,0,0,0,0,0,1
https://www.ace-attorney.com,1,23,1043,0.9990412272291467,37,3,1,6,0,0,14,0,False,1,0,19,3,0.10354745925215723,0,0,0,False,False,True,False,0,8,0,0.019230769230769232,0,19
https://www.surf-forecast.com,1,21,1163,0.999140154772141,146,4,1,7,12,0,24,1,False,0,0,21,4,0.11263972484952708,6,0,0,True,False,True,False,0,0,0,0,8,26
https://www.jotnot.com,1,21,507,0.9980276134122288,249,1,1,1,0,1,30,1,False,0,0,19,1,0.15187376725838264,0,0,0,True,False,True,False,0,0,0,1,0,13
https://www.duvalay.co.uk,1,15,606,0.9983498349834984,73,4,1,3,1,0,40,0,False,1,0,20,4,0.17326732673267325,1,0,0,False,False,True,False,0,0,0,1,1,21
http://www.heheelibom.com,0,2,3,0.6666666666666666,2,0,0,0,0,0,0,0,False,0,0,0,0,0.3333333333333333,0,0,0,False,False,False,False,0,0,0,0,0,0
https://www.attendanceportal.com,1,24,449,0.9977728285077951,70,0,0,0,0,0,14,0,False,0,0,3,0,0.46770601336302897,0,0,0,False,False,True,False,0,0,0,1,11,8
https://www.safetykitsplus.com,1,21,1803,0.9994456762749445,88,2,0,19,82,0,61,2,False,13,0,12,2,0.3106312292358804,0,0,0,True,True,True,False,0,0,0,1,1,8
https://www.comfort-town.com.ua,1,12,232,0.9956896551724138,18,0,0,0,0,0,5,0,False,2,0,3,0,0.11206896551724138,0,0,0,False,False,True,False,0,0,0,0,0,7
https://www.crochicstyles.com,1,10,156,0.9935897435897436,78,0,0,0,0,0,2,1,False,1,0,0,0,0.19230769230769232,0,0,0,False,False,False,False,0,0,0,0,0,0
https://www.viciloves.com,1,6,21,0.9523809523809523,8,0,0,0,0,0,2,2,False,0,0,3,0,0.38095238095238093,0,0,0,True,False,True,False,0,0,0,0,0,2
https://www.99purity.com,1,25,775,0.9987096774193548,42,1,0,4,25,0,33,0,False,1,0,3,1,0.23225806451612904,0,0,0,False,False,True,False,0,0,0,1,4,6
https://www.fallriverlibrary.org,1,18,1031,0.9990300678952473,85,0,0,2,0,0.5,30,0,False,1,0,13,0,0.6100872938894277,0,0,0,False,False,True,False,0,0,1,0.6086956521739131,1,27
https://www.vegky.com,1,3,11,0.9090909090909091,7,0,0,0,0,0,3,0,False,0,0,4,0,0.7272727272727273,0,0,0,False,False,True,False,0,0,0,0,0,4
https://www.inputking.com,1,16,228,0.9956140350877193,24,7,1,1,0,0,13,0,True,0,0,9,7,0.14410480349344978,0,0,0,False,False,True,False,0,0,0,1,0,7
https://www.gamtosperlas.lt,1,20,269,0.9962825278810409,39,1,1,0,0,0,20,0,True,0,1,3,1,0.15985130111524162,1,0,0,False,False,True,False,0,0,0,1,4,10
https://www.vetusware.com,1,12,477,0.9979035639412998,48,1,0,0,0,0,9,0,False,4,0,10,1,0.0502092050209205,0,0,0,False,False,True,False,0,0,0,1,0,8
https://www.crimeandinvestigation.co.uk,1,25,936,0.9989316239316239,99,2,1,2,0,0.5,25,1,False,0,0,46,2,0.1517094017094017,0,0,0,False,False,True,False,0,0,1,0.7894736842105263,0,24
https://www.kcirishparade.com,1,19,496,0.9979838709677419,33,0,0,0,0,0,4,0,False,0,0,33,0,0.39919354838709675,0,0,0,False,True,True,False,0,0,0,0.4,0,5
https://www.sweetcaptcha.com,1,17,615,0.9983739837398374,73,1,1,2,0,0,29,0,False,0,0,6,1,0.1951219512195122,0,0,0,False,False,True,False,0,0,1,1,0,11
http://www.f0547651.xsph.ru,0,2,3,0.6666666666666666,2,0,0,0,0,0,0,0,False,0,0,0,0,0.3333333333333333,0,0,0,False,False,False,False,0,0,0,0,0,0
https://www.canadiansoccernews.com,1,25,1493,0.999330207635633,34,1,1,4,4,0,23,1,False,0,0,28,1,0.09645010046885466,0,0,0,False,False,True,False,0,17,0,0,0,4
https://www.nassauflorida.com,1,14,702,0.9985754985754985,41,2,1,3,10,0.6666666666666666,20,1,False,0,0,24,2,0.14814814814814814,0,0,0,False,False,True,False,0,0,0,0.975,1,36
https://www.dimensiondata.com,1,16,768,0.9986979166666666,91,3,1,0,0,0,51,3,False,0,0,32,3,0.4049479166666667,0,0,0,True,True,True,False,0,0,0,0,0,30
https://www.alhaq.org,1,21,1160,0.9991379310344828,41,0,0,2,0,0,17,0,False,0,0,24,0,0.08706896551724137,1,0,0,False,False,True,False,0,0,0,0,1,12
https://www.urheiluhallit.fi,1,15,865,0.9988439306358381,76,1,0,1,0,0,34,2,False,3,0,19,1,0.1674364896073903,0,0,0,False,False,True,False,0,6,0,0.7058823529411765,1,15
https://linkcurto.net/habl198ajkl,0,10,94,0.9893617021276596,21,0,0,0,0,0,2,1,False,1,0,0,0,0.3191489361702128,0,0,0,False,False,False,False,0,0,0,0,0,0
https://www.sparta-rotterdam.nl,1,17,1238,0.9991922455573505,72,8,1,1,0,0,49,2,False,3,0,23,8,0.1429725363489499,0,0,0,False,False,True,False,0,0,0,0.9863013698630136,0,45
https://www.maurinet.com,1,32,536,0.9981343283582089,26,0,0,2,0,0,12,1,False,1,0,9,0,0.08395522388059702,0,0,0,False,False,True,False,0,0,0,0,0,5
http://www.benchmarkcreative.com.au,0,2,3,0.6666666666666666,2,0,0,0,0,0,0,0,False,0,0,0,0,0.3333333333333333,0,0,0,False,False,False,False,0,0,0,0,0,0
https://www.firmafuif.nl,1,12,259,0.9961389961389961,76,1,1,0,0,0,31,0,False,0,9,19,1,0.42857142857142855,0,0,0,False,False,True,False,0,0,0,1,0,19
https://www.publicdeliberation.net,1,22,445,0.9977528089887641,53,0,0,1,0,0,24,0,False,0,0,30,0,0.20674157303370785,0,0,0,False,False,True,False,0,0,0,0.3076923076923077,2,15
https://www.vizcayaswimwear.com,1,23,3223,0.9996897300651567,237,2,0,17,40,0,73,2,False,2,0,15,2,0.47719515978901644,0,0,0,False,False,True,False,0,0,0,0.9,2,18
