url,meta_refresh_redirect,script_entropy_avg,inline_script_ratio,suspicious_keyword_density,css_external_ratio,base_tag_mismatch,title_brand_mismatch,image_alt_anomaly_ratio
https://www.sfnmjournal.com,1,6.124,1.0,0.0,0.0,0,1,0.0
https://www.uni-mainz.de,0,4.632,0.276,0.0,0.588,0,1,1.0
https://www.globalreporting.org,0,4.573,0.118,0.0,0.0,0,1,0.5
https://www.nerdscandy.com,0,4.509,1.0,0.0,0.0,0,1,0.0
https://www.southbankmosaics.com,0,4.968,0.222,0.00206,0.095,0,1,0.242
https://www.voicefmradio.co.uk,0,4.906,0.333,0.0036,1.0,0,1,0.815
https://www.hyderabadonline.in,0,4.622,0.385,0.00711,0.667,0,0,0.0
http://www.teramill.com,0,0.0,0.0,0.0,1.0,0,0,1.0
https://www.saffronart.com,0,4.726,0.455,0.00746,0.0,0,0,0.5
https://www.religionenlibertad.com,0,4.802,0.857,0.00063,0.667,0,1,0.056
https://www.socialpolicy.org,0,4.907,0.25,0.00165,0.0,0,0,0.923
https://www.bulgariaski.com,0,4.17,0.259,0.00062,0.0,0,1,0.99
https://www.aoh61.com,0,4.072,0.483,0.01646,1.0,0,1,0.0
https://www.brightika.com,0,5.045,0.429,0.0,0.0,0,0,1.0
https://www.funzine.hu,0,4.999,0.774,0.0,1.0,0,0,0.578
https://www.dixxon.com,0,4.736,0.687,0.00077,0.625,0,0,0.275
https://www.ooty.ind.in,0,4.133,0.333,0.00029,0.0,0,0,0.0
http://www.f0519141.xsph.ru,0,0.0,0.0,0.0,0.0,0,1,0.0
https://www.rewildingargentina.org,0,4.946,0.457,0.00043,0.133,0,1,0.98
https://www.cryptocompare.com,0,5.017,0.889,0.00761,0.5,0,0,1.0
https://www.town.minamichita.lg.jp,0,4.842,0.12,0.0,0.0,0,1,0.377
https://www.motley.ie,0,4.775,0.75,0.0,0.0,0,0,0.0
https://www.aap.org,0,4.634,0.564,0.00726,0.0,0,0,1.0
https://service-mitld.firebaseapp.com/,0,0.0,0.0,0.0,1.0,0,1,1.0
http://www.kuradox92.lima-city.de,0,0.0,0.0,0.0,0.0,0,0,0.0
https://www.musicvideoproduction.guru,0,5.073,0.333,0.0,0.667,0,1,0.0
https://liuy-9a930.web.app/,0,0.0,0.0,0.0,1.0,0,1,1.0
https://ipfs.io/ipfs/qmrvvyr84esa2assw9vvwupqjgsdn4c3dwkusfdwzdz3kn?clientid=noc@protocol.ai,0,0.0,0.0,0.01639,0.0,0,1,0.0
https://www.bwresearch.com,0,4.771,0.167,0.0,0.125,0,1,0.091
https://hidok4f8zl.firebaseapp.com/,0,0.0,0.0,0.0,1.0,0,1,1.0
https://www.landed.com,0,4.919,0.571,0.0,0.0,0,0,1.0
https://www.diariodealmeria.es,1,4.525,0.75,0.0,0.2,0,1,0.0
http://att-103731-107123.weeblysite.com/,0,0.0,0.0,0.0,0.0,0,1,0.0
https://www.ibeani.co.uk,0,4.788,0.69,0.00344,0.018,0,0,0.357
https://www.vysor.io,0,4.017,0.125,0.0,0.0,0,0,1.0
http://www.fairytalesinc.com,0,4.172,1.0,0.0,0.0,0,0,0.0
https://www.bikeseoul.com,0,5.142,0.316,0.0,0.0,0,1,0.588
https://www.metroretrovintage.com,0,4.753,0.677,0.04918,1.0,0,1,0.0
https://mechinchem-5cb8a.web.app/,0,0.0,0.0,0.0,1.0,0,1,1.0
https://fb-restriction-case-97be5.web.app/,0,0.0,0.0,0.0,1.0,0,1,1.0
https://www.salutlive.com,0,4.172,1.0,0.0,0.0,0,0,0.0
http://www.ooguy.com,0,4.591,0.167,0.0,0.143,0,1,0.0
https://www.marrugeku.com.au,0,4.837,0.367,0.0,0.0,0,0,1.0
https://dev-634536.pantheonsite.io/,0,0.0,0.0,0.0,0.0,0,1,0.0
https://www.sweatdrop.com,0,4.302,0.167,0.0,0.0,0,0,0.934
https://www.recettessimples.fr,0,4.974,0.391,0.0,0.0,0,1,0.217
https://www.senacases.com,0,4.747,0.718,0.00275,1.0,0,0,0.75
https://www.vespatales.com,0,4.638,0.636,0.0003,1.0,0,1,0.933
https://www.karenmillen.com,0,4.849,0.51,0.00443,0.0,0,1,0.0
https://metafb-tvz6efk.web.app/,0,5.515,0.5,0.0,0.0,0,1,0.0
https://www.klerk.ru,0,4.87,0.833,0.00062,0.286,0,1,0.486
https://www.mlpack.org,0,0.0,0.0,0.0,0.0,0,0,0.0
https://www.lanereport.com,0,4.971,0.256,0.00915,0.043,0,1,0.966
https://www.spg.pt,0,4.783,0.407,0.0,0.364,0,1,0.688
https://www.schmitzfotografia.com.br,0,4.558,0.7,0.0,1.0,0,1,0.1
https://www.larepublica.co,0,4.459,0.444,0.00027,0.25,0,0,0.353
https://www.torahmates.org,0,4.667,0.455,0.0,0.667,0,0,0.0
https://www.coraevans.com,0,4.938,0.625,0.0,0.5,0,1,0.105
http://www.httpzen.fairhash.org,0,0.0,0.0,0.0,0.0,0,1,0.0
http://www.cjplogger.com,0,4.813,0.333,0.0,0.0,0,0,0.941
https://www.pimpim.lt,0,4.356,0.588,0.0,0.833,0,0,0.071
https://ggsexpole.web.app/,0,0.0,0.0,0.0,1.0,0,1,1.0
